[08-12 17:24:07] New Score: 101, Best Score: 431, Average Score: 42.24390243902439
[08-12 17:24:11] New Score: 98, Best Score: 431, Average Score: 42.91566265060241
[08-12 17:24:15] New Score: 100, Best Score: 431, Average Score: 43.595238095238095
[08-12 17:24:20] New Score: 99, Best Score: 431, Average Score: 44.247058823529414
[08-12 17:24:23] New Score: 98, Best Score: 431, Average Score: 44.872093023255815
[08-12 17:24:28] New Score: 112, Best Score: 431, Average Score: 45.64367816091954
[08-12 17:24:33] New Score: 112, Best Score: 431, Average Score: 46.39772727272727
[08-12 17:24:37] New Score: 100, Best Score: 431, Average Score: 47.0
[08-12 17:24:41] New Score: 110, Best Score: 431, Average Score: 47.7
[08-12 17:24:46] New Score: 124, Best Score: 431, Average Score: 48.53846153846154
[08-12 17:24:51] New Score: 112, Best Score: 431, Average Score: 49.22826086956522
[08-12 17:24:54] New Score: 99, Best Score: 431, Average Score: 49.763440860215056
[08-12 17:24:59] New Score: 99, Best Score: 431, Average Score: 50.287234042553195
[08-12 17:25:03] New Score: 100, Best Score: 431, Average Score: 50.810526315789474
[08-12 17:25:07] New Score: 110, Best Score: 431, Average Score: 51.427083333333336
[08-12 17:25:11] New Score: 99, Best Score: 431, Average Score: 51.91752577319588
[08-12 17:25:16] New Score: 113, Best Score: 431, Average Score: 52.54081632653061
[08-12 17:25:20] New Score: 98, Best Score: 431, Average Score: 53.0
[08-12 17:25:24] New Score: 99, Best Score: 431, Average Score: 53.46
[08-12 17:25:28] New Score: 99, Best Score: 431, Average Score: 53.91089108910891
[08-12 17:25:32] New Score: 99, Best Score: 431, Average Score: 54.35294117647059
[08-12 17:25:36] New Score: 98, Best Score: 431, Average Score: 54.77669902912621
[08-12 17:25:40] New Score: 72, Best Score: 431, Average Score: 54.94230769230769
[08-12 17:25:45] New Score: 101, Best Score: 431, Average Score: 55.38095238095238
[08-12 17:25:49] New Score: 100, Best Score: 431, Average Score: 55.801886792452834
[08-12 17:25:53] New Score: 99, Best Score: 431, Average Score: 56.205607476635514
[08-12 17:25:58] New Score: 125, Best Score: 431, Average Score: 56.842592592592595
[08-12 17:26:03] New Score: 125, Best Score: 431, Average Score: 57.46788990825688
[08-12 17:26:07] New Score: 98, Best Score: 431, Average Score: 57.836363636363636
[08-12 17:26:12] New Score: 112, Best Score: 431, Average Score: 58.32432432432432
[08-12 17:26:20] New Score: 111, Best Score: 431, Average Score: 58.794642857142854
[08-12 17:26:24] New Score: 100, Best Score: 431, Average Score: 59.15929203539823
[08-12 17:26:28] New Score: 98, Best Score: 431, Average Score: 59.5
[08-12 17:26:33] New Score: 99, Best Score: 431, Average Score: 59.84347826086957
[08-12 17:26:37] New Score: 100, Best Score: 431, Average Score: 60.189655172413794
[08-12 17:26:41] New Score: 111, Best Score: 431, Average Score: 60.623931623931625
[08-12 17:26:46] New Score: 99, Best Score: 431, Average Score: 60.94915254237288
[08-12 17:26:50] New Score: 110, Best Score: 431, Average Score: 61.36134453781513
[08-12 17:26:54] New Score: 100, Best Score: 431, Average Score: 61.68333333333333
[08-12 17:26:59] New Score: 100, Best Score: 431, Average Score: 62.0
[08-12 17:27:03] New Score: 112, Best Score: 431, Average Score: 62.40983606557377
[08-12 17:27:08] New Score: 100, Best Score: 431, Average Score: 62.71544715447155
[08-12 17:27:12] New Score: 98, Best Score: 431, Average Score: 63.0
[08-12 17:27:16] New Score: 98, Best Score: 431, Average Score: 63.28
[08-12 17:27:20] New Score: 110, Best Score: 431, Average Score: 63.65079365079365
[08-12 17:27:25] New Score: 102, Best Score: 431, Average Score: 63.95275590551181
[08-12 17:27:30] New Score: 113, Best Score: 431, Average Score: 64.3359375
[08-12 17:27:34] New Score: 111, Best Score: 431, Average Score: 64.69767441860465
